"# of shards","engine","sharding","total"
1,0.2295999526977539,0.1565999984741211,0.386199951171875
2,0.302400016784668,0.1429999828338623,0.4453999996185303
3,0.34599995613098145,0.14720001220703124,0.4931999683380127
4,0.409999942779541,0.15480003356933594,0.5647999763488769
5,0.5302000522613526,0.1586000442504883,0.6888000965118408
6,0.7167999744415283,0.17699999809265138,0.8937999725341796
