"# of shards","engine","sharding","total"
1,0.26020002365112305,0.12940001487731934,0.3896000385284424
2,0.37220005989074706,0.13620004653930665,0.5084001064300537
3,0.4892000198364258,0.1326000213623047,0.6218000411987304
4,0.623799991607666,0.13419995307922364,0.7579999446868897
5,0.7784000396728515,0.13779993057250978,0.9161999702453614
6,0.8078001022338868,0.13359999656677246,0.9414000988006592
