"# of shards","engine","sharding","total"
1,0.24199995994567872,0.03559999465942383,0.27759995460510256
2,0.3736000061035156,0.03600001335144043,0.40960001945495605
3,0.5115999698638916,0.03660001754760742,0.548199987411499
4,0.6644000053405762,0.0365999698638916,0.7009999752044678
5,0.728600025177002,0.036799955368041995,0.765399980545044
6,0.8043999195098877,0.03780007362365723,0.8421999931335449
