"%secure","runtime"
1,6.1125999927520756
10,6.685200023651123
20,7.1801999568939205
30,7.348599910736084
40,7.799200010299683
50,7.946600008010864
60,8.558599948883057
70,8.911200046539307
80,9.562999963760376
90,9.816799926757813
96,9.97660002708435
