"# of shards","engine","sharding","total"
1,0.45240001678466796,0.2495999813079834,0.7019999980926513
2,0.6111999988555908,0.2535999774932861,0.864799976348877
3,0.753600025177002,0.2619999885559082,1.0156000137329102
4,0.8398000240325928,0.2572000026702881,1.0970000267028808
5,0.9980000495910645,0.25779995918273924,1.2558000087738037
6,1.2095999717712402,0.2686000823974609,1.4782000541687013
