"# of shards","engine","sharding","total"
1,0.10600004196166993,0.06979994773864746,0.17579998970031738
2,0.1558000087738037,0.07159996032714844,0.22739996910095214
3,0.20939993858337402,0.07039995193481445,0.2797998905181885
4,0.28919997215271,0.07339992523193359,0.36259989738464354
5,0.31220006942749023,0.0735999584197998,0.38580002784729006
6,0.3687999725341797,0.07199997901916504,0.4407999515533447
